id,document,tag,content
93,0428_WashU,requirement-who,"For these reasons, all Washington University students on the Danforth and Medical Campuses will be required to receive the COVID-19 vaccine."
95,0428_WashU,requirement-level,"Students must be fully vaccinated before they arrive on campus for the start of their fall academic term or August 30, whichever comes first."
95,0428_WashU,requirement-who,"Students must be fully vaccinated before they arrive on campus for the start of their fall academic term or August 30, whichever comes first."
100,0428_WashU,exemption,We will allow exemptions for students who are unable to receive the vaccine for religious or medical reasons.
96,0428_WashU,safety,Thank you for your support for our efforts to keep you and our community safe and healthy.
96,0428_WashU,health,Thank you for your support for our efforts to keep you and our community safe and healthy.
97,0511_Purdue,community,"Purdue University, one of the first universities to commit to reopening campus in 2020, has been as open, densely populated, and operational as any school its size while taking measured and necessary steps to protect its campus community. The consistent and nearly universal embrace of the Protect Purdue Pledge by our students, faculty and staff has been vital to the safety of our community during the COVID-19 pandemic."
97,0511_Purdue,responsibility of community members,"Purdue University, one of the first universities to commit to reopening campus in 2020, has been as open, densely populated, and operational as any school its size while taking measured and necessary steps to protect its campus community. The consistent and nearly universal embrace of the Protect Purdue Pledge by our students, faculty and staff has been vital to the safety of our community during the COVID-19 pandemic."
98,0511_Purdue,requirement-level,"Vaccination, according to medical authorities worldwide and evidence on a global basis, is the fastest and surest means today to significantly reduce the risk of exposure and serious il ness, and Purdue continues to encourage al  Boilermakers to get vaccinated now. The greater the percentage of our campus community who are vaccinated, the more protected we al  are and the more we can ease Protect Purdue restrictions and return to ful  normal operations."
98,0511_Purdue,requirement-who,"Vaccination, according to medical authorities worldwide and evidence on a global basis, is the fastest and surest means today to significantly reduce the risk of exposure and serious il ness, and Purdue continues to encourage al  Boilermakers to get vaccinated now. The greater the percentage of our campus community who are vaccinated, the more protected we al  are and the more we can ease Protect Purdue restrictions and return to ful  normal operations."
98,0511_Purdue,responsibility of community members,"Vaccination, according to medical authorities worldwide and evidence on a global basis, is the fastest and surest means today to significantly reduce the risk of exposure and serious il ness, and Purdue continues to encourage al  Boilermakers to get vaccinated now. The greater the percentage of our campus community who are vaccinated, the more protected we al  are and the more we can ease Protect Purdue restrictions and return to ful  normal operations."
98,0511_Purdue,expertise,"Vaccination, according to medical authorities worldwide and evidence on a global basis, is the fastest and surest means today to significantly reduce the risk of exposure and serious il ness, and Purdue continues to encourage al  Boilermakers to get vaccinated now. The greater the percentage of our campus community who are vaccinated, the more protected we al  are and the more we can ease Protect Purdue restrictions and return to ful  normal operations."
98,0511_Purdue,evidence,"Vaccination, according to medical authorities worldwide and evidence on a global basis, is the fastest and surest means today to significantly reduce the risk of exposure and serious il ness, and Purdue continues to encourage al  Boilermakers to get vaccinated now. The greater the percentage of our campus community who are vaccinated, the more protected we al  are and the more we can ease Protect Purdue restrictions and return to ful  normal operations."
246,0511_Purdue,efforts of community members,"And in less than four weeks, Purdue’s on-campus clinic has vaccinated more than 18,000 people against COVID-19."
99,0511_Purdue,community,"Vaccination against COVID-19 also is an expression of the Protect Purdue Pledge: I protect myself from the risk of infection and serious il ness, I protect others by reducing the spread of the virus and possibly more severe variants of COVID-19, and I protect our Purdue community against a large outbreak and the risk of closure."
99,0511_Purdue,responsibility of community members,"Vaccination against COVID-19 also is an expression of the Protect Purdue Pledge: I protect myself from the risk of infection and serious il ness, I protect others by reducing the spread of the virus and possibly more severe variants of COVID-19, and I protect our Purdue community against a large outbreak and the risk of closure."
101,0511_Purdue,exemption,"Employees may choose to decline vaccination against COVID-19 for medical or religious reasons, but those declining wil  be required to participate in frequent mandatory testing on campus."
106,0514_Yale,requirement-level,"Requiring faculty, staff, and trainees to be vaccinated against COVID-19"
106,0514_Yale,requirement-who,"Requiring faculty, staff, and trainees to be vaccinated against COVID-19"
107,0514_Yale,safety,"As we plan for this exciting transition back to campus, our top priority will continue to be the health and safety of students, faculty, staff, and individuals with whom we interact outside of our campus."
107,0514_Yale,health,"As we plan for this exciting transition back to campus, our top priority will continue to be the health and safety of students, faculty, staff, and individuals with whom we interact outside of our campus."
108,0514_Yale,safety,A high percentage of vaccine coverage is critical for a safe return to in-person university operations.
109,0514_Yale,requirement-level,"Therefore, we are requiring all faculty, staff, and postdoctoral and postgraduate trainees to be fully vaccinated against COVID-19 by August 1. This decision follows our announcement in April of the vaccination requirement for all undergraduate, graduate, and professional school students."
109,0514_Yale,requirement-who,"Therefore, we are requiring all faculty, staff, and postdoctoral and postgraduate trainees to be fully vaccinated against COVID-19 by August 1. This decision follows our announcement in April of the vaccination requirement for all undergraduate, graduate, and professional school students."
110,0514_Yale,expertise,"Our decision is based on the recommendation of Yale’s experts in public health, medicine, and nursing, as well as discussions with staff and faculty across campus."
114,0514_Yale,evidence,"There is abundant evidence that vaccines are the strongest tool we have for preventing the spread of COVID-19 and that they are safe. For example, we are already seeing notable reductions in infection rates as levels of vaccination have increased. As a leading global research university, we have a responsibility to demonstrate to others the importance of taking actions based on evidence."
113,0514_Yale,leadership/public services,"As a leading global research university, we have a responsibility to demonstrate to others the importance of taking actions based on evidence."
115,0514_Yale,exemption,"Faculty, staff, and postdoctoral and postgraduate trainees may apply for exemption from the vaccination requirement for medical reasons or based on religious or other strongly held personal belief."
116,0514_Yale,community,"For over 15 months, we have worked tirelessly to protect each other from illness. Yale’s vaccination requirements are an acknowledgement and an extension of these efforts. At this turning point in the pandemic, the administration of each vaccine brings us one step closer to the end of this public health crisis. We are grateful for all you have done for Yale and our community’s health. To those who have yet to be inoculated, please join us in becoming vaccinated against COVID-19 ."
116,0514_Yale,responsibility of community members,"For over 15 months, we have worked tirelessly to protect each other from illness. Yale’s vaccination requirements are an acknowledgement and an extension of these efforts. At this turning point in the pandemic, the administration of each vaccine brings us one step closer to the end of this public health crisis. We are grateful for all you have done for Yale and our community’s health. To those who have yet to be inoculated, please join us in becoming vaccinated against COVID-19 ."
117,0528_Harvard,safety,"Last week Governor Baker announced that he will lift all remaining COVID-19 restrictions in Massachusetts effective May 29. This welcome news reflects an improving public health situation that permits the state to ease restrictions and enable communities to reopen more fully. For the Harvard community, this represents another step forward in safely resuming more on-campus academic and work activities."
117,0528_Harvard,regulations,"Last week Governor Baker announced that he will lift all remaining COVID-19 restrictions in Massachusetts effective May 29. This welcome news reflects an improving public health situation that permits the state to ease restrictions and enable communities to reopen more fully. For the Harvard community, this represents another step forward in safely resuming more on-campus academic and work activities."
119,0528_Harvard,requirement-level,"As previously announced, Harvard will require COVID vaccination for all students who will be on campus this fall. As we work to reach the high levels of vaccination needed to protect our community, we are now extending that vaccination requirement to all Harvard community members, including faculty, staff, and researchers, who will have any on-campus presence."
119,0528_Harvard,requirement-who,"As previously announced, Harvard will require COVID vaccination for all students who will be on campus this fall. As we work to reach the high levels of vaccination needed to protect our community, we are now extending that vaccination requirement to all Harvard community members, including faculty, staff, and researchers, who will have any on-campus presence."
119,0528_Harvard,community,"As previously announced, Harvard will require COVID vaccination for all students who will be on campus this fall. As we work to reach the high levels of vaccination needed to protect our community, we are now extending that vaccination requirement to all Harvard community members, including faculty, staff, and researchers, who will have any on-campus presence."
120,0528_Harvard,exemption,Exceptions will be provided for medical or religious reasons.
121,0528_Harvard,community,The resilience of our community over these past 15 months has been extraordinary. You have adapted to a seemingly endless set of challenges and continued to find ways to fulfill our academic and research mission.
122,0609_Vanderbilt,requirement-level,"As announced last month, COVID-19 vaccinations will be required for all members of the Vanderbilt University community for the 2021–22 academic school year."
122,0609_Vanderbilt,requirement-who,"As announced last month, COVID-19 vaccinations will be required for all members of the Vanderbilt University community for the 2021–22 academic school year."
123,0609_Vanderbilt,requirement-level,"New and returning students are required to be fully vaccinated against COVID-19 for the 2021–22 academic school year. The requirement applies to all undergraduate, graduate and professional students this fall, and it will be handled in a manner consistent with other university policies governing student vaccine requirements."
123,0609_Vanderbilt,requirement-who,"New and returning students are required to be fully vaccinated against COVID-19 for the 2021–22 academic school year. The requirement applies to all undergraduate, graduate and professional students this fall, and it will be handled in a manner consistent with other university policies governing student vaccine requirements."
124,0609_Vanderbilt,exemption,Students can request accommodations for medical exemptions through the Student Access office an d religious exemptions through the Equal Opportunity and Access office.
125,0609_Vanderbilt,penalty of no compliance,A hold will be placed on a student’s course registration until the vaccination record has been verified unless they have an approved (or in-process request for) accommodation or they are an international student who will be vaccinated upon arrival in Nashville. A student’s enrollment at the university will be cancelled for the semester if the student is noncompliant.
126,0609_Vanderbilt,exemption,International students can request accommodations for medical exemptions through the Student Access office and religious exemptions through the Equal Opportunity and Access office .
127,0609_Vanderbilt,requirement-level,All full-time and part-time Vanderbilt University-employed faculty are required to be fully vaccinated against COVID-19 for the 2021–22 academic school year.
127,0609_Vanderbilt,requirement-who,All full-time and part-time Vanderbilt University-employed faculty are required to be fully vaccinated against COVID-19 for the 2021–22 academic school year.
128,0609_Vanderbilt,penalty of no compliance,"Faculty who have not submitted confirmation of vaccination and who do not have an approved or in-process request for exemption/accommodation by July 31 will be subject to appropriate Faculty Manual processes, including disciplinary actions."
129,0609_Vanderbilt,requirement-level,"All Vanderbilt University-employed staff—which includes full time, part time, flex and temporary—and all VU-employed postdocs are required to be fully vaccinated against COVID-19 for the 2021–22 academic school year."
129,0609_Vanderbilt,requirement-who,"All Vanderbilt University-employed staff—which includes full time, part time, flex and temporary—and all VU-employed postdocs are required to be fully vaccinated against COVID-19 for the 2021–22 academic school year."
130,0609_Vanderbilt,requirement-level,"This requirement applies regardless of whether staff are working on campus or remotely, now or in the future."
130,0609_Vanderbilt,requirement-who,"This requirement applies regardless of whether staff are working on campus or remotely, now or in the future."
131,0609_Vanderbilt,exemption,Staff and postdocs who decide to seek an exemption from the vaccination requirement as a medical or religious accommodation must submit a request for accommodation to the Equal Opportunity and Access office as soon as possible.
132,0609_Vanderbilt,penalty of no compliance,"Supervisors will be notified of those not in compliance, and the university will take appropriate disciplinary action, which will include termination of employment."
134,0610_UCLA,requirement-level,"The University of California Office of the President (UCOP) announced today that it is finalizing a policy that will require all UC faculty, staff, academic appointees and students to be vaccinated against COVID19, subject to narrow medical exemptions and accommodations based on disability or religious belief."
134,0610_UCLA,requirement-who,"The University of California Office of the President (UCOP) announced today that it is finalizing a policy that will require all UC faculty, staff, academic appointees and students to be vaccinated against COVID19, subject to narrow medical exemptions and accommodations based on disability or religious belief."
133,0610_UCLA,exemption,subject to narrow medical exemptions and accommodations based on disability or religious belief.
135,0610_UCLA,community,Vaccination is essential to protect the health and safety of the UCLA community and will facilitate our return to greater in-person campus operations .
135,0610_UCLA,safety,Vaccination is essential to protect the health and safety of the UCLA community and will facilitate our return to greater in-person campus operations .
135,0610_UCLA,benefit of vaccination,Vaccination is essential to protect the health and safety of the UCLA community and will facilitate our return to greater in-person campus operations .
135,0610_UCLA,health,Vaccination is essential to protect the health and safety of the UCLA community and will facilitate our return to greater in-person campus operations .
136,0610_UCLA,community,Thank you for doing your part to stop the spread of COVID19 and keep our community healthy.
136,0610_UCLA,responsibility of community members,Thank you for doing your part to stop the spread of COVID19 and keep our community healthy.
136,0610_UCLA,health,Thank you for doing your part to stop the spread of COVID19 and keep our community healthy.
137,0615_Arizona State,safety,"Arizona State University has worked closely with federal, state and local officials to align and work together with regard to public health and safety standards involving COVID-19 since the onset of the pandemic in January of 2020."
137,0615_Arizona State,health,"Arizona State University has worked closely with federal, state and local officials to align and work together with regard to public health and safety standards involving COVID-19 since the onset of the pandemic in January of 2020."
137,0615_Arizona State,regulations,"Arizona State University has worked closely with federal, state and local officials to align and work together with regard to public health and safety standards involving COVID-19 since the onset of the pandemic in January of 2020."
138,0615_Arizona State,expertise,"Along the way, we have rigorously followed the recommendations of the Centers for Disease Control and Prevention to manage and minimize the spread of the virus while simultaneously remaining open to our students and the public and conducting as many in-person classes as public health protocols allow."
138,0615_Arizona State,experience/educational needs,"Along the way, we have rigorously followed the recommendations of the Centers for Disease Control and Prevention to manage and minimize the spread of the virus while simultaneously remaining open to our students and the public and conducting as many in-person classes as public health protocols allow."
144,0615_Arizona State,leadership/public services,"We have also been a key partner to the state in inventing and providing mass testing and vaccine operations for the public, providing testing and management strategies to K-12 schools to get teachers and students back in the classroom, conducting scientific testing on the virus itself, and helping the state return to pre-pandemic operations."
141,0615_Arizona State,requirement-level,"Since the vaccine hit the market, we have communicated an expectation that students and employees get the vaccine, but it has never been a requirement."
141,0615_Arizona State,requirement-who,"Since the vaccine hit the market, we have communicated an expectation that students and employees get the vaccine, but it has never been a requirement."
139,0615_Arizona State,expertise,"As we bring all students and employees back together this fall for full in-person operations, we continued to follow the guidance of the CDC specific to universities and colleges and as it relates to having a campus that is a mix of fully vaccinated and unvaccinated individuals. The CDC recognizes the unique environments of Institutions of Higher Learning; the ASU student population includes people from all 50 states and more than 130 countries."
140,0615_Arizona State,requirement-level,"This week, we informed our student population of what to expect when they return to campus for the fall semester. We did not communicate a vaccine mandate. We reiterated our message that we expect students to get vaccinated given the health benefits, but also offered students a choice in the matter."
140,0615_Arizona State,requirement-who,"This week, we informed our student population of what to expect when they return to campus for the fall semester. We did not communicate a vaccine mandate. We reiterated our message that we expect students to get vaccinated given the health benefits, but also offered students a choice in the matter."
140,0615_Arizona State,benefit of vaccination,"This week, we informed our student population of what to expect when they return to campus for the fall semester. We did not communicate a vaccine mandate. We reiterated our message that we expect students to get vaccinated given the health benefits, but also offered students a choice in the matter."
142,0615_Arizona State,community,"And, we communicated a continuation of existing health protocols for students who are not yet vaccinated as they are at higher risk for infection and spreading the virus. Per the CDC: “IHE (Institutions of Higher Education) administrators should create programs and policies that facilitate the adoption and implementation of prevention strategies to slow the spread of COVID-19 at the IHE and in the local community. Evidence-based prevention strategies, including vaccination, should be implemented, and layered in IHE settings."
142,0615_Arizona State,expertise,"And, we communicated a continuation of existing health protocols for students who are not yet vaccinated as they are at higher risk for infection and spreading the virus. Per the CDC: “IHE (Institutions of Higher Education) administrators should create programs and policies that facilitate the adoption and implementation of prevention strategies to slow the spread of COVID-19 at the IHE and in the local community. Evidence-based prevention strategies, including vaccination, should be implemented, and layered in IHE settings."
142,0615_Arizona State,evidence,"And, we communicated a continuation of existing health protocols for students who are not yet vaccinated as they are at higher risk for infection and spreading the virus. Per the CDC: “IHE (Institutions of Higher Education) administrators should create programs and policies that facilitate the adoption and implementation of prevention strategies to slow the spread of COVID-19 at the IHE and in the local community. Evidence-based prevention strategies, including vaccination, should be implemented, and layered in IHE settings."
142,0615_Arizona State,institutional strategy,"And, we communicated a continuation of existing health protocols for students who are not yet vaccinated as they are at higher risk for infection and spreading the virus. Per the CDC: “IHE (Institutions of Higher Education) administrators should create programs and policies that facilitate the adoption and implementation of prevention strategies to slow the spread of COVID-19 at the IHE and in the local community. Evidence-based prevention strategies, including vaccination, should be implemented, and layered in IHE settings."
143,0615_Arizona State,community,"Our commitment to working closely with the state to combat the spread of COVID-19 is well documented and has been of benefit not only to the ASU Community but to the broader community, as well."
145,0615_WashU,requirement-who,"for faculty, staff and trainees"
146,0615_WashU,evidence,"After a long 16 months of disruption and difficulty during the COVID-19 pandemic, we are finally seeing some significant signs of hope for a return to many of our regular activities. This is in large part due to the availability of authorized COVID-19 vaccines, which have greatly improved the trajectory of the pandemic. Studies have shown that all of the vaccines currently authorized for use in the United States have an excellent safety profile and markedly reduce the risk of contracting COVID-19, including severe illness, which is reduced by 90 percent or more in people who are fully vaccinated."
147,0615_WashU,requirement-level,"With the aim of protecting our community and the patients we serve, and returning to full in-person teaching, learning, research and campus life in the fall, we will require all Washington University faculty, staff and trainees to receive the COVID-19 vaccine."
147,0615_WashU,requirement-who,"With the aim of protecting our community and the patients we serve, and returning to full in-person teaching, learning, research and campus life in the fall, we will require all Washington University faculty, staff and trainees to receive the COVID-19 vaccine."
147,0615_WashU,community,"With the aim of protecting our community and the patients we serve, and returning to full in-person teaching, learning, research and campus life in the fall, we will require all Washington University faculty, staff and trainees to receive the COVID-19 vaccine."
148,0615_WashU,exemption,Exemptions may be granted for medical contraindications and for sincerely held religious beliefs. Exemption requests will be evaluated on a case-by-case basis.
149,0615_WashU,expertise,We made the decision to require the vaccine after careful consideration of guidance from federal and regional health agencies and our own infectious disease experts at the School of Medicine.
151,0615_WashU,benefit of vaccination,we believe that a fully vaccinated campus will allow us to bring back the bulk of our workforce and lift many of the public health restrictions that have been in place for over a year.
152,0615_WashU,community,"This is good news for all of us, as individuals and collectively, as members of the university community."
153,0615_WashU,penalty of no compliance,"Other than the limited exceptions noted above, faculty, staff and trainees who do not provide proof of full vaccination by August 30, 2021 will be prohibited from accessing university facilities and will be subject to other measures, including termination of employment."
154,0615_WashU,community,"We are grateful for your many contributions to our successful navigation of this crisis over the past 16 months. Throughout this time, our highest priorities have been to protect the health of our community and ultimately to bring our most valued resources – our people – back together."
154,0615_WashU,health,"We are grateful for your many contributions to our successful navigation of this crisis over the past 16 months. Throughout this time, our highest priorities have been to protect the health of our community and ultimately to bring our most valued resources – our people – back together."
156,0629_Duke,community,"Together we have made extraordinary progress in combating COVID-19 on campus. More than 81 percent of our faculty and staff and nearly 10,000 of our students are fully vaccinated, and that number increases every week. We ended the Spring semester with a very low number of positive cases and had a joyous in-person celebration for our graduates. In addition, since May 3, there have been 35,000 surveillance tests completed with only 7 positive results."
156,0629_Duke,evidence,"Together we have made extraordinary progress in combating COVID-19 on campus. More than 81 percent of our faculty and staff and nearly 10,000 of our students are fully vaccinated, and that number increases every week. We ended the Spring semester with a very low number of positive cases and had a joyous in-person celebration for our graduates. In addition, since May 3, there have been 35,000 surveillance tests completed with only 7 positive results."
156,0629_Duke,benefit of vaccination,"Together we have made extraordinary progress in combating COVID-19 on campus. More than 81 percent of our faculty and staff and nearly 10,000 of our students are fully vaccinated, and that number increases every week. We ended the Spring semester with a very low number of positive cases and had a joyous in-person celebration for our graduates. In addition, since May 3, there have been 35,000 surveillance tests completed with only 7 positive results."
157,0629_Duke,expertise,"of the N.C. Department of Health and Human Services and the Centers for Disease Control and Prevention, among others, to promote a safe environment for our students, faculty, staff and visitors."
157,0629_Duke,safety,"of the N.C. Department of Health and Human Services and the Centers for Disease Control and Prevention, among others, to promote a safe environment for our students, faculty, staff and visitors."
158,0629_Duke,responsibility of community members,"While the national news is good, the pandemic is not over yet. Vaccination rates in our region continue to lag and the emergence of new and more transmittable variants of COVID-19 mean we must continue to practice some of our public health protocols as we begin the Fall semester.These protocols include: • Vaccinations :"
158,0629_Duke,risk of covid,"While the national news is good, the pandemic is not over yet. Vaccination rates in our region continue to lag and the emergence of new and more transmittable variants of COVID-19 mean we must continue to practice some of our public health protocols as we begin the Fall semester.These protocols include: • Vaccinations :"
159,0629_Duke,requirement-level,"All Duke undergraduate, graduate and professional students must present proof of vaccination in order to attend classes and other campus activities this Fall. All faculty and staff are expected to present proof of vaccination by September 1."
159,0629_Duke,requirement-who,"All Duke undergraduate, graduate and professional students must present proof of vaccination in order to attend classes and other campus activities this Fall. All faculty and staff are expected to present proof of vaccination by September 1."
160,0629_Duke,exemption,"Students, faculty and staff may apply for a medical or religious exemption ."
161,0629_Duke,responsibility of community members,"With your participation and support, Duke has led the way back from this pandemic. Your perseverance, creativity and sheer will to overcome the many challenges that confronted us reflects the best of Duke and will define our future."
162,0707_UW,requirement-who,"This message was sent to faculty and other academic personnel, staff, trainees and students across the University of Washington."
163,0707_UW,regulations,"Washington state’s continued vaccination progress resulted in the end of many coronavirus-related restrictions on June 30. Today, we are bringing the UW’s policies into alignment with these new regulations and writing to you to highlight key parts of those changes."
164,0707_UW,requirement-level,"We also have additional information about the UW’s requirement that all students, faculty and other academic personnel, staff and trainees get vaccinated against COVID-19 by the start of autumn quarter, if not declaring an exemption."
164,0707_UW,requirement-who,"We also have additional information about the UW’s requirement that all students, faculty and other academic personnel, staff and trainees get vaccinated against COVID-19 by the start of autumn quarter, if not declaring an exemption."
165,0707_UW,exemption,"Starting today, we ask students and employees to either verify that they have been fully vaccinated , or declare a medical, religious or philosophical exemption"
166,0707_UW,responsibility of community members,"As our state continues to recover from the pandemic, there will understandably be uncertainty and anxiety, together with the joy of coming together once again and the hope we share for a new and better normal. We look forward to working with you as we reinvigorate our commitment to our University mission, and to creating a healthier, more just, and more equitable world for all."
169,0715_CaseWesternReserve,requirement-level,"By now nearly 70 percent of you have uploaded your cards . While this figure represents a strong showing, it is still too low to provide our community the level of protection it expects—and deserves. So today we announce our next, necessary step: As of 5 p.m., Friday, July 23 , all faculty, staff, and students must have : • submitted proof of full or partial vaccination to our secure health record system, or • notified the university that you have not been able to access an eligible vaccine (or are partially vaccinated) and wish to receive one from the university , or • formally requested a medical or religious exception from the appropriate university office.* Those faculty, staff and students who have not completed one of the above options may not come to campus after July 23 . Why is one of these steps now required? The safety and well-being of the campus community depends on them."
169,0715_CaseWesternReserve,requirement-who,"By now nearly 70 percent of you have uploaded your cards . While this figure represents a strong showing, it is still too low to provide our community the level of protection it expects—and deserves. So today we announce our next, necessary step: As of 5 p.m., Friday, July 23 , all faculty, staff, and students must have : • submitted proof of full or partial vaccination to our secure health record system, or • notified the university that you have not been able to access an eligible vaccine (or are partially vaccinated) and wish to receive one from the university , or • formally requested a medical or religious exception from the appropriate university office.* Those faculty, staff and students who have not completed one of the above options may not come to campus after July 23 . Why is one of these steps now required? The safety and well-being of the campus community depends on them."
169,0715_CaseWesternReserve,community,"By now nearly 70 percent of you have uploaded your cards . While this figure represents a strong showing, it is still too low to provide our community the level of protection it expects—and deserves. So today we announce our next, necessary step: As of 5 p.m., Friday, July 23 , all faculty, staff, and students must have : • submitted proof of full or partial vaccination to our secure health record system, or • notified the university that you have not been able to access an eligible vaccine (or are partially vaccinated) and wish to receive one from the university , or • formally requested a medical or religious exception from the appropriate university office.* Those faculty, staff and students who have not completed one of the above options may not come to campus after July 23 . Why is one of these steps now required? The safety and well-being of the campus community depends on them."
169,0715_CaseWesternReserve,responsibility of community members,"By now nearly 70 percent of you have uploaded your cards . While this figure represents a strong showing, it is still too low to provide our community the level of protection it expects—and deserves. So today we announce our next, necessary step: As of 5 p.m., Friday, July 23 , all faculty, staff, and students must have : • submitted proof of full or partial vaccination to our secure health record system, or • notified the university that you have not been able to access an eligible vaccine (or are partially vaccinated) and wish to receive one from the university , or • formally requested a medical or religious exception from the appropriate university office.* Those faculty, staff and students who have not completed one of the above options may not come to campus after July 23 . Why is one of these steps now required? The safety and well-being of the campus community depends on them."
169,0715_CaseWesternReserve,safety,"By now nearly 70 percent of you have uploaded your cards . While this figure represents a strong showing, it is still too low to provide our community the level of protection it expects—and deserves. So today we announce our next, necessary step: As of 5 p.m., Friday, July 23 , all faculty, staff, and students must have : • submitted proof of full or partial vaccination to our secure health record system, or • notified the university that you have not been able to access an eligible vaccine (or are partially vaccinated) and wish to receive one from the university , or • formally requested a medical or religious exception from the appropriate university office.* Those faculty, staff and students who have not completed one of the above options may not come to campus after July 23 . Why is one of these steps now required? The safety and well-being of the campus community depends on them."
169,0715_CaseWesternReserve,health,"By now nearly 70 percent of you have uploaded your cards . While this figure represents a strong showing, it is still too low to provide our community the level of protection it expects—and deserves. So today we announce our next, necessary step: As of 5 p.m., Friday, July 23 , all faculty, staff, and students must have : • submitted proof of full or partial vaccination to our secure health record system, or • notified the university that you have not been able to access an eligible vaccine (or are partially vaccinated) and wish to receive one from the university , or • formally requested a medical or religious exception from the appropriate university office.* Those faculty, staff and students who have not completed one of the above options may not come to campus after July 23 . Why is one of these steps now required? The safety and well-being of the campus community depends on them."
170,0715_CaseWesternReserve,evidence,"Research shows that people who are fully vaccinated are significantly less likely to contract or spread COVID19—and if they are infected, their symptoms will not be as severe. With highly transmissible delta variant present in all 50 states—and weekly U.S. case counts doubling in recent weeks—full vaccination is even more critical."
170,0715_CaseWesternReserve,risk of covid,"Research shows that people who are fully vaccinated are significantly less likely to contract or spread COVID19—and if they are infected, their symptoms will not be as severe. With highly transmissible delta variant present in all 50 states—and weekly U.S. case counts doubling in recent weeks—full vaccination is even more critical."
172,0723_Pitt,risk of covid,"As the start of the fall term nears, concerns about COVID-19—and especially the new fast-spreading delta variant—are rising. It seems only natural to question if the plans we have been making for fall will protect our students, faculty and staff."
173,0723_Pitt,institutional strategy,"Since the beginning of the pandemic, the University of Pittsburgh’s fundamental strategy has focused on minimizing the risk of infection related to the coronavirus while maximizing our ability to carry out our mission activities of teaching, research and service. Before highlighting the difference in our approach for this fall, let me quickly summarize the basics that continue to guide us. Our virus control program can be divided into roughly three approaches, differing by how targeted the measures are. In order of increasing specificity, they are: •  Global mitigation, which involves measures taken by everyone to lower the risk of person-to-person transmission of the virus. Familiar examples include social distancing and avoiding large gatherings, universal use of face coverings, good hand hygiene, etc. •  Containment, which involves measures— taken by those infected or potentially exposed —to lower the risk of transmission. Examples include testing to identify infection, contact tracing to identify exposures, and the use of isolation and quarantines. •  Immunization, which stimulates an immune response in each individual that protects against serious illness and lowers the risk of transmission. The COVID-19 vaccines widely available today have proven to be safe and highly effective—including against the prevailing delta variant. These measures work. Last year, using only global mitigation and containment strategies, we were able to control the virus in our on-campus environment. Today, with the widespread availability of effective and safe vaccines, we can further tailor our mitigation and containment strategies to achieve a very low risk of transmission on our campuses, even with the new delta variant."
174,0723_Pitt,community,"Vaccines are a game-changer. They protect individuals from serious illness, cut the risk of transmission and collectively reduce our reliance on global mitigation approaches in favor of targeted containment strategies. This, in turn, minimizes the disruptions to our program and activities while ensuring the safety of everyone on our campuses."
174,0723_Pitt,safety,"Vaccines are a game-changer. They protect individuals from serious illness, cut the risk of transmission and collectively reduce our reliance on global mitigation approaches in favor of targeted containment strategies. This, in turn, minimizes the disruptions to our program and activities while ensuring the safety of everyone on our campuses."
